56.67686,92.69195
76,73
110,56
158,51
203,54
238.7692,65.23077
264.7463,83.58357
278.1242,116.0322
280.9231,150.4615
283.0769,182.1539
277.8462,209.5385
267.5724,242.8175
263.0769,260.3077
259.0769,281.8462
253.2308,302.7693
226.1539,340.9231
191.6923,371.0769
160.3077,382.1539
129.8462,374.1539
102.6457,351.1828
83.61569,331.6242
67.4178,304.81
59.56388,284.5778
50.98412,235.295
40.45256,192.3148
37.89083,162.1433
41.87575,140.2263
47.85312,113.4704
68.65007,98.09956
102.6501,87.09956
140.6501,83.09956
180.6501,83.09956
217.6501,87.09956
251.6501,98.09956
68.12518,116.6244
107.1252,106.6244
141.1252,102.6244
179.1252,102.6244
211.1252,105.6244
248.1252,114.6244
60,139
72,133
87,130
103,131
120,135
134,141
62.27281,144.7817
79.39609,140.6076
96.11578,141.1067
117.8462,149.2308
139.7866,155.83
139.2564,164.6575
116,156.3077
95.86566,150.9404
80.60891,150.1006
61.84616,150.7692
150,131
151,139
151,146
150,154
146,160
145.5801,171.9382
153.5801,169.9382
164.5801,169.9382
172.5801,171.9382
173.6891,160.4584
171,154
170,146
170,139
171,131
187,139
200,134
218,131
237,132
253,135
265,142
181.4611,153.5841
197.2308,146.7692
216,141.5385
234.996,141.0025
258.7692,148
261.5904,153.1799
236.1158,148.281
216.6154,150.4615
199.1637,155.9793
181.2475,163.9576
53,163.621
57,169.621
64,173.621
72,176.621
51,173.621
57,176.621
64.10822,178.8067
71,181.621
52,185.621
57,183.621
64,183.621
71,184.621
53,192.621
59,189.621
65,187.621
72,187.621
80,179
89.53847,172.9231
95.36714,169.5552
116.3292,172.5497
123.6923,178.7692
132.3077,187.0769
122.4697,190.7346
116.8282,193.0127
95.86624,192.5136
88.30769,188.6154
107.1729,179.3835
132.704,195
119.704,201
104.704,203
89.70399,201
73.70399,196
129.704,204.018
117.704,212.018
100.704,215.018
82.70398,214.018
64.70398,208.018
66.65702,240.982
73.65702,246.982
84.65702,251.982
101.657,252.982
116.657,249.982
145.8462,177.8462
147.3364,190.4954
146.3364,204.4954
143.3364,218.4954
140.0702,229.5982
133.5935,242.7214
128.4674,254.8665
129.8932,262.5683
136.7892,262.4001
139.1439,258.1953
146.3762,259.0362
152.0948,266.2686
158.318,268.9597
162.6911,266.7732
169.4189,260.2136
177.9968,259.2044
179.006,264.4185
186.2383,263.5775
188.593,255.5042
184.8928,240.8712
179.5197,227.5355
177.457,218.3821
174.234,204.3299
172.3364,190.4954
173.8462,177.2308
159,249
248.6454,177.8516
256.6454,174.8516
261.6454,170.8516
266.6454,164.8516
249.6454,181.8516
256.6454,179.8516
262.6454,177.8516
267.6454,173.8516
248.6454,185.8516
256.6454,184.8516
262.6454,184.8516
267.6454,185.8516
247.6097,188.9093
255.6454,189.8516
261.6454,191.8516
266.253,193.8083
188.1125,186.8733
196.2774,178.9596
208.2395,171.3262
220.6597,170.0995
231.3238,174.9399
239.3846,182.4615
233.208,188.0038
222.9598,191.8732
207.0128,192.4865
199,191.2032
214.7427,179.8389
186.3692,194.3555
199.231,200.787
214.231,203.787
231.231,202.787
246.231,197.787
186.3141,203.953
198.3141,210.953
213.3141,215.953
231.3141,215.953
249.3141,209.953
199.13,249.621
215.13,250.621
232.13,249.621
245.13,244.621
255.13,236.621
123,256
119,262
113,268
110,275
107,281
104,287
106.0206,304.0413
103.0206,314.0413
103.0206,326.0413
106.0206,336.0413
111,302
120.8107,299.4029
129.0522,297.7209
137.9665,295.7026
146.4615,293.8462
156.6361,295.5344
168.9231,293.8462
179.0075,296.1453
189.1021,298.4843
197.104,299.8385
204,303
190,303
176,303
158.8522,305.3276
142,303
127,303
111.4023,303.508
120.5004,314.2857
127.9188,320.8643
138.4711,326.8186
158.0202,329.8788
175.5087,325.2034
185.1666,319.3246
190.275,313.6994
202.103,303.6479
190.0656,304.0679
175.9286,304.2078
158.5723,306.7273
141.6359,304.0679
126.5191,303.9279
126.2788,350.9491
134.4438,340.5388
150.1835,335.2247
168.1835,335.2247
181.5962,341.5594
187.7199,349.7244
192,255
197,260
201,267
205,274
208,281
211,289
211.8165,305.4495
214.8165,315.4495
214.8165,326.4495
212.8165,337.4495
